sequential write, 0.01, 0.000107224, 72.861486
sequential read, 0.01, 0.000172103, 45.394328
sequential write, 0.03, 0.000253040, 123.498261
sequential read, 0.03, 0.000445640, 70.123867
sequential write, 0.12, 0.910705912, 0.137256
sequential read, 0.12, 0.001420536, 87.994954
sequential write, 0.50, 0.066273941, 7.544443
sequential read, 0.50, 0.005508355, 90.771201
sequential write, 2.00, 4.051858139, 0.493601
sequential read, 2.00, 0.924277630, 2.163852
sequential write, 8.00, 18.005427754, 0.444310
sequential read, 8.00, 0.989645777, 8.083700
sequential write, 32.00, 73.986908211, 0.432509
sequential read, 32.00, 3.060271990, 10.456587
sequential write, 0.25, 0.921973735, 0.271157
sequential read, 0.25, 0.003126393, 79.964355
sequential write, 4.00, 7.013878637, 0.570298
sequential read, 4.00, 0.938213068, 4.263424
sequential write, 0.50, 0.062354421, 8.018678
sequential read, 0.50, 0.909039187, 0.550031
sequential write, 8.00, 14.025489884, 0.570390
sequential read, 8.00, 0.978387091, 8.176723
sequential write, 1.00, 1.033046994, 0.968010
sequential read, 1.00, 0.919709373, 1.087300
sequential write, 16.00, 28.025105033, 0.570917
sequential read, 16.00, 1.947618203, 8.215162
sequential write, 2.00, 2.986883900, 0.669594
sequential read, 2.00, 0.039523920, 50.602268
sequential write, 32.00, 54.998173822, 0.581838
sequential read, 32.00, 3.000519905, 10.664818
